Publication,Year,Month,Last Name (1st Author),Frequency (GHz),Psat (dBm),PAEmax (%),P1dB (dBm),PAE_1dB (%),Gain (dB)
RFIC,2018,,Callender,75,12.8,26.3,5.7,11.6,16.6
RFIC,2019,,Celik,76,17.8,17.3,13.3,,17.8
ISSCC,2008,,Suzuki,77,6.3,3,,,8.5
MWCL,2009,5,Hamada,77,9.4,9.6,5,,20.6
MWCL,2009,5,Hamada,77,5.8,7.1,0.9,,17.4
IMS,2010,,Sengupta,77,11.4,3,,,9
MWCL,2010,5,Lin,77,9.1,7.6,4.8,,12.4
TMTT,2013,7,Oh,77,15.8,15.2,13,,20.9
ISSCC,2014,,Zhao,77,20.9,22.3,17.8,,18.1
RFIC,2014,,Kaymaksut,77,16.2,12,15.2,11.1,9.2
TMTT,2015,2,Zhao,77,20.9,22.3,17.8,14,18.1
TMTT,2015,4,Kaymaksut,77,16.2,12,15.2,11.1,9.2
RFIC,2016,,Jayamon,77,19.6,18,,,12
RFIC,2016,,Jayamon,77,18.7,24,,,11
TCASI,2017,6,Lin,77,12,16,9.5,,21
ISSCC,2018,,Abiri,77,27.4,30.8 (DE),,,
TMTT,2021,,Nocera,77,13.5,14.5,,,26.5
IMS ,2020,,Xue,78.5,15.5,12.5,10.2,,16.4
ISSCC,2012,,Wang,79,19.3,19.2,16.4,10,24.2
ISSCC,2014,,Zhao,79,20.9,22.3,17.8,,18.1
RFIT,2015,,Soga,79,11.5,13.5,,,25.1
RFIC,2009,,Kurita,80,10.3,4.5,7.5,,
MWCL,2011,,Chan,80,13.3,11.8,10.8,,18
MWCL,2011,,Chan,80,12.3,13.8,8.65,,17
TMTT,2012,6,Kim,80,12.4,14.2,,,11
IMS,2014,,Tai,80,21.1,5.2,,,10.1
IMS,2020,,Xue ,81,18,12.6,12.9,,16.1
TMTT,2015,2,Jia,87,11.9,9,9.6,,18.6
RWS,2013,,Jayamon,89,17,9,11.5,,8
ISSCC,2010,,Sandstrom,90,6.6,3,2.2,,8.5
IMS,2012,,Patterson,90,6,6.6,,,7
RFIC,2012,,Tsai,90,14.8,8.7,12.5,,12
IMS,2013,,Tsai,90,18,9,16.8,,12.5
IMS,2013,,Agah,90,15.8,11,15,11,10.2
JSSC,2014,7,Shopov,90,19,8.9,,,36
JSSC,2014,5,Agah,91,19.2,14,,,12.4
RFIC,2011,,Deferm,94,7.6,4.6,,,18.5
TCASI,2017,6,Lin,94,16.8,16.4,15,,20
TCASI,2017,6,Lin,94,10.6,10.2,9.2,,12
ISSCC,2009,,Sandstrom,100,10,7,,,13
MWCL,2011,10,Xu,100,13.9,8.5,,,13
MWCL,2011,10,Xu,100,13.8,9.4,,,13.4
MWCL,2011,10,Xu,100,12,8.9,,,10.1
MWCL,2011,10,Xu,100,11.8,10,,,10.3
CICC,2011,,Momeni,107,2.3,4.4,-1,,12.5
RFIC,2011,,Xu,108,14.8,9.4,11.6,,14.1
RFIC,2011,,Xu,108,12.9,8.2,9.6,,12.2
TMTT,2012,,Gu,108,14.8,9.4,11.6,,14.1
TMTT,2012,,Gu,108,12.9,8.2,9.6,,12.2
MWCL,2016,7,Son,109,15.2,10.3,12.5,,20.3
PAWR,2018,,Son,118,14.5,10.2,,,17
RFIC,2018,,Simic,140,14.8,8.9,10.7,,20.3
RFIC,2021,,Li,140,16,12.5,12.5,7.5,22.2
RFIC,2021,,Li,140,17.5,13.4,14.2,7.5,24
RFIC,2021,,Tang,140,12.5,10.8,9.4,,33.6
IEEE Access,2021,8,Park,150,9.4,16,4,,17.5
RFIC,2021,,Sadlo,184,-3.7,4.2,,,7.6
JSSC,2014,3,Wang,210,4.6,6,2.7,,15
MWCL,2021,,Yun,250,3.8,3.2,2.3,,12.6
ISSCC,2004,,Kim,320,14,,12,,11
RFIC,2005,6,Cruise,N/A,,,,,
JSSC,2005,8,Ding,N/A,22,44,20.5,36,12
JSSC,2005,9,Ding,N/A,22,44,20.5,36,12
